Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
29400000,9.954381,0.049985815,14250.666666666666,1424.1667935053508,1424.1667935053508,0.05124858,0.025101844,6.2801228e-06,0.10209334,0.000114457725,1.0
29450000,9.957382,0.050969955,15416.0,1540.7001376152039,1540.7001376152039,0.022207731,0.027460415,5.761841e-06,0.10192059,0.00010583699,1.0
29500000,9.951316,0.053408854,11274.0,1126.500100761652,1126.500100761652,0.029537905,0.023705963,5.2462783e-06,0.10174873,9.726145e-05,1.0
29550000,9.967753,0.049042746,None,None,None,0.0064679654,0.025210848,4.7297312e-06,0.10157653,8.866955e-05,1.0
29600000,9.968206,0.051116876,40493.666666666664,4048.467028180758,4048.467028180758,0.047527622,0.021820143,4.214443e-06,0.10140477,8.009859e-05,1.0
29650000,9.9627695,0.051404428,None,None,None,0.006134801,0.021155797,3.7503773e-06,0.101250075,7.2379626e-05,1.0
29700000,9.969121,0.04996814,17247.0,1723.8001539707184,1723.8001539707184,0.025379647,0.023343632,3.2841745e-06,0.1010947,6.462512e-05,1.0
29750000,9.948254,0.050109126,17924.5,1791.550159841776,1791.550159841776,0.04966627,0.022244275,2.7683573e-06,0.100922726,5.6045355e-05,1.0
29800000,9.961338,0.049082283,22248.0,2223.9001984596252,2223.9001984596252,0.026459515,0.021101546,2.2532122e-06,0.10075103,4.7476773e-05,1.0
29850000,9.922382,0.050361257,37129.28571428572,3712.0289029819623,3712.0289029819623,0.08360142,0.023181757,1.7377776e-06,0.10057922,3.8903374e-05,1.0
29900000,9.927864,0.054553855,20043.0,2003.4001791477203,2003.4001791477203,0.034419205,0.028588096,1.2229654e-06,0.10040762,3.034033e-05,1.0
29950000,9.938903,0.048628,44366.0,4435.700396299362,4435.700396299362,0.03988659,0.022809543,7.5794895e-07,0.10025262,2.260556e-05,1.0
30000000,9.946669,0.04896196,4929.0,492.00004410743713,492.00004410743713,0.011657611,0.021586793,2.9422023e-07,0.10009805,1.4892202e-05,1.0
